12.10.20 12:52 PM;Prices - EPEX Spot Market Auction - Germany/Luxembourg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delivery day;Hour1;Hour2;Hour3A;Hour3B;Hour4;Hour5;Hour6;Hour7;Hour8;Hour9;Hour10;Hour11;Hour12;Hour13;Hour14;Hour15;Hour16;Hour17;Hour18;Hour19;Hour20;Hour21;Hour22;Hour23;Hour24;Minimum;Maximum;Volume Weighted Average;"Middle Night
(01-04)";"Early Morning
(05-08)";"Late Morning
(09-12)";"Early Afternoon
(13-16)";"Rush Hour
(17-20)";"Off-Peak 2
(21-24)";"Baseload
(01-24)";"Peakload
(09-20)";"Night
(01-06)";"Off-Peak 1
(01-08)";"Business
(09-16)";"Off-Peak
(01-08 & 21-24)";"Morning
(07-10)";"High Noon
(11-14)";"Afternoon
(15-18)";"Evening
(19-24)";"Sun Peak
(11-16)"
13.10.2020;35,24;32,17;32,21;;31,34;32,30;36,39;48,61;57,80;70,37;63,95;54,71;51,34;46,62;43,65;42,64;43,20;45,84;50,70;55,92;59,52;45,14;39,45;36,17;30,26;30,26;70,37;45,87;32,74;43,78;60,09;44,03;53,00;37,76;45,23;52,37;33,28;38,26;52,06;38,09;60,18;49,08;45,60;44,41;47,03
12.10.2020;31,47;29,00;29,60;;28,91;28,72;29,55;44,70;54,28;61,44;59,62;55,05;52,40;49,15;46,90;46,13;46,62;46,13;54,00;65,31;78,68;56,46;48,12;45,05;38,37;28,72;78,68;48,03;29,75;39,31;57,13;47,20;61,03;47,00;46,90;55,12;29,54;34,53;52,16;38,69;55,01;50,88;48,22;55,33;49,38
11.10.2020;27,87;26,20;27,74;;25,75;25,49;26,09;26,78;28,61;29,13;32,03;31,52;33,67;33,41;30,00;27,77;28,02;29,58;32,75;42,95;49,08;44,91;41,44;38,00;33,63;25,49;49,08;32,13;26,89;26,74;31,59;29,80;38,59;39,50;32,18;33,33;26,52;26,82;30,69;31,04;29,14;32,15;29,53;41,67;30,73
10.10.2020;37,12;32,28;31,66;;29,20;28,37;27,75;28,37;31,66;36,35;38,33;30,07;30,75;28,85;27,85;28,02;27,41;28,56;31,18;39,89;42,23;32,78;28,65;27,07;25,18;25,18;42,23;31,18;32,57;29,04;33,88;28,03;35,47;28,42;31,23;32,46;31,06;30,80;30,95;30,01;33,68;29,38;28,79;32,63;28,83
09.10.2020;10,86;23,01;25,99;;27,71;29,70;32,52;44,07;52,61;62,44;58,03;51,10;47,90;43,40;38,91;37,76;38,64;40,00;43,63;45,92;51,29;45,37;37,72;37,18;33,54;10,86;62,44;40,52;21,89;39,73;54,87;39,68;45,21;38,45;39,97;46,59;24,97;30,81;47,27;33,36;54,29;45,33;40,01;41,84;42,95
08.10.2020;25,72;25,56;24,56;;23,96;22,02;26,80;37,72;47,98;50,75;46,94;38,84;32,73;32,89;29,19;27,77;25,69;27,57;28,49;29,48;32,27;25,77;22,87;19,51;10,90;10,90;50,75;29,84;24,95;33,63;42,32;28,89;29,45;19,76;29,83;33,55;24,77;29,29;35,60;26,11;45,85;33,41;27,38;23,47;31,19
07.10.2020;30,28;26,79;25,63;;18,58;19,01;28,52;37,32;47,06;51,54;49,52;46,75;44,85;41,35;38,40;34,92;34,07;35,37;40,03;46,01;45,91;43,05;33,03;31,91;29,05;18,58;51,54;36,86;25,32;32,98;48,17;37,19;41,83;34,26;36,62;42,39;24,80;29,15;42,68;30,85;46,36;42,84;36,10;38,16;40,06
06.10.2020;28,97;26,17;19,01;;10,74;14,90;26,64;33,10;44,08;46,75;44,05;37,73;36,28;33,62;36,08;34,88;34,91;36,37;41,07;44,92;49,35;43,27;36,26;36,03;31,65;10,74;49,35;34,56;21,22;29,68;41,20;34,87;42,93;36,80;34,45;39,67;21,07;25,45;38,04;29,24;42,00;35,93;36,81;40,25;35,58
05.10.2020;19,81;11,88;6,00;;6,23;7,82;20,00;35,07;44,41;47,02;46,49;41,60;38,54;33,29;32,36;33,33;33,23;34,07;41,44;49,07;53,96;42,54;35,52;30,02;26,51;6,00;53,96;32,13;10,98;26,83;43,41;33,05;44,64;33,65;32,09;40,37;11,96;18,90;38,23;23,82;43,25;36,45;35,52;39,60;35,39
04.10.2020;26,77;17,75;14,44;;7,58;2,14;1,76;1,60;1,56;2,52;-0,09;-0,98;-9,96;-39,90;-54,97;-45,30;-2,08;0,04;29,00;38,50;46,61;41,23;32,99;31,25;28,06;-54,97;46,61;3,56;16,64;1,77;-2,13;-35,56;28,54;33,38;7,11;-3,05;11,74;9,20;-18,85;17,26;1,40;-26,45;-4,59;36,44;-25,53
03.10.2020;0,07;0,12;-5,29;;-5,73;-0,37;0,09;-0,06;0,09;11,58;20,31;16,65;23,62;25,23;6,65;2,75;13,13;25,94;33,02;39,64;48,92;39,72;34,33;33,27;31,25;-5,73;48,92;16,00;-2,71;-0,06;18,04;11,94;36,88;34,64;16,46;22,29;-1,85;-1,39;14,99;10,62;7,98;18,04;18,71;37,86;14,67
